2 Timothy|4|22|The Lord be with thy spirit. Grace be with you.
Ephesians|1|1|Paul, an apostle of Christ Jesus through the will of God, to the saints that are at Ephesus, and the faithful in Christ Jesus:
Ephesians|1|2|Grace to you and peace from God our Father and the Lord Jesus Christ.
Ephesians|1|3|Blessed {be} the God and Father of our Lord Jesus Christ, who hath blessed us with every spiritual blessing in the heavenly {places} in Christ:
Ephesians|1|4|even as he chose us in him before the foundation of the world, that we should be holy and without blemish before him in love:
Ephesians|1|5|having foreordained us unto adoption as sons through Jesus Christ unto himself, according to the good pleasure of his will,
Ephesians|1|6|to the praise of the glory of his grace, which he freely bestowed on us in the Beloved:
Ephesians|1|7|in whom we have our redemption through his blood, the forgiveness of our trespasses, according to the riches of his grace,
Ephesians|1|8|which he made to abound toward us in all wisdom and prudence,
Ephesians|1|9|making known unto us the mystery of his will, according to his good pleasure which he purposed in him
Ephesians|1|10|unto a dispensation of the fulness of the times, to sum up all things in Christ, the things in the heavens, and the things upon the earth; in him, {I say,}
Ephesians|1|11|in whom also we were made a heritage, having been foreordained according to the purpose of him who worketh all things after the counsel of his will;
Ephesians|1|12|to the end that we should be unto the praise of his glory, we who had before hoped in Christ:
Ephesians|1|13|in whom ye also, having heard the word of the truth, the gospel of your salvation,-- in whom, having also believed, ye were sealed with the Holy Spirit of promise,
Ephesians|1|14|which is an earnest of our inheritance, unto the redemption of {God’s} own possession, unto the praise of his glory.
Ephesians|1|15|For this cause I also, having heard of the faith in the Lord Jesus which is among you, and the love which {ye show} toward all the saints,
Ephesians|1|16|cease not to give thanks for you, making mention {of you} in my prayers;
Ephesians|1|17|that the God of our Lord Jesus Christ, the Father of glory, may give unto you a spirit of wisdom and revelation in the knowledge of him;
Ephesians|1|18|having the eyes of your heart enlightened, that ye may know what is the hope of his calling, what the riches of the glory of his inheritance in the saints,
Ephesians|1|19|and what the exceeding greatness of his power to us-ward who believe, according to that working of the strength of his might
